Head,Backbone,Epoch,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75
Redet,resnet50,19,0.000000,0.005065,0.005675,0.005175,0.000702,0.003580,0.000000,0.001523,0.007725,0.000000
Redet,resnet50,20,0.000000,0.006644,0.007446,0.006789,0.000879,0.004697,0.000000,0.001599,0.007907,0.000000
Redet,resnet50,21,0.000000,0.005064,0.007076,0.005787,0.000788,0.004047,0.000000,0.001752,0.009613,0.000000
Redet,resnet50,22,0.000000,0.005013,0.007584,0.005983,0.000808,0.004199,0.000000,0.001562,0.007771,0.000000
Redet,resnet50,23,0.000000,0.004896,0.007269,0.005783,0.000745,0.004055,0.000000,0.001511,0.007707,0.000000
Redet,resnet50,24,0.000000,0.004998,0.005345,0.004995,0.000680,0.003448,0.000000,0.001501,0.007689,0.000000
Redet,resnet50,25,0.000000,0.003711,0.005809,0.004514,0.000608,0.003173,0.000000,0.001305,0.006459,0.000000
