Model,Train,Test,Images,CFCBK,FCBK,Zigzag,Class-agnostic AP
RFDETRLarge Epoch 10,Sentinel Train,Sentinel Test,15590,0.5930319719975959,0.5719240566253354,0.583416454976007,0.7146246373150782
RFDETRLarge Epoch 20,Sentinel Train,Sentinel Test,15590,0.5880676993308843,0.5822070695142687,0.5999327074039168,0.7469720551009134
RFDETRLarge Epoch 30,Sentinel Train,Sentinel Test,15590,0.6425692107738321,0.6368444064352836,0.642534487688728,0.796390510423772
